RPM,Throttle_%,Velocity_ms,Thrust_N,Power_W,Efficiency_gW
14000,,24.4486176,38.023384560000004,680.396,55.88419767311978
14000,,25.973024,35.39003832,654.37,54.08261124440301
14000,,27.5019008,32.65883124,625.027,52.25187270309922
14000,,29.030777599999997,29.85645264,592.476,50.39267858951249
14000,,30.5596544,26.98290252,556.815,48.45936715066942
14000,,32.084060799999996,24.05597376,518.139,46.42764540017254
14000,,33.612937599999995,21.0845628,476.551,44.24408468348613
14000,,35.1418144,18.068669640000003,432.176,41.80859103698494
14000,,36.6706912,15.0349836,385.161,39.03558148410665
14000,,38.199568,11.99240112,335.691,35.724523803140386
14000,,39.723974399999996,8.94981864,283.993,31.514222674502538
14000,,41.2528512,5.93392548,230.353,25.760139785459707
14000,,42.781728,2.95361808,175.108,16.867407999634512
14000,,44.3106048,0.026689320000000002,118.487,0.22525104019850284
17000,,0.0,96.81106008,1306.069,74.12400116686025
17000,,1.8552160000000002,95.55666203999999,1325.753,72.07727385116232
17000,,3.7059615999999997,94.17771384000001,1344.321,70.05597163177546
17000,,5.5611776,92.67421548,1361.351,68.0751808167034
17000,,7.4163936,91.01947764,1376.417,66.1278359973758
17000,,9.2716096,89.21350032000001,1389.068,64.2254377179519
17000,,11.1223552,87.25628352,1398.838,62.377690282934836
17000,,12.9775712,85.12113792,1405.252,60.57357535872569
17000,,14.8327872,82.81695995999999,1407.835,58.825757251382434
17000,,16.6835328,80.32595676,1406.125,57.1257582078407
17000,,18.5387488,77.64812832,1399.685,55.47543077192368
17000,,20.3939648,74.7745782,1388.115,53.86771139278806
17000,,22.2491808,71.72309928,1371.053,52.31241919896605
17000,,24.099926399999998,68.47589868,1348.187,50.79109847521153
17000,,25.9551424,65.0329764,1319.229,49.29619982580734
17000,,27.8103584,61.40322888,1283.828,47.828236243484334
17000,,29.661103999999998,57.59555256,1241.758,46.38226817141504
17000,,31.51632,53.61884388,1193.215,44.93644806677757
17000,,33.371536,49.49979216,1138.459,43.47964411542268
17000,,35.226752,45.25619028,1077.7,41.99331008629488
17000,,37.0774976,40.91472756,1011.126,40.46451931806719
17000,,38.9327136,36.48430044,938.917,38.857854783756174
17000,,40.7879296,31.97380536,861.27,37.12402076004041
17000,,42.638675199999994,27.40993164,778.413,35.212582061193736
17000,,44.4938912,22.81047216,690.625,33.02873796923077
17000,,46.3491072,18.18432336,598.255,30.3956061545662
17000,,48.2043232,13.567070999999999,501.749,27.03955762741928
17000,,50.0550688,8.97650796,401.668,22.348078413017713
17000,,51.9102848,4.44822,298.697,14.89208127299571
17000,,53.7655008,-0.00889644,193.291,-0.04602614710462463
